Retailer ID,Invoice Date,Region_ID,State_ID,Product_ID,Price per Unit,Units Sold,Operating Margin,Sales Method,Total Sales,Operating Profit
1185732,2020-01-01,RG1,ST1,PD1,50.0,1200,0.5,In-store,60000.0,30000.0
1185732,2020-01-02,RG1,ST1,PD2,50.0,1000,0.3,In-store,50000.0,15000.0
1185732,2020-01-03,RG1,ST1,PD3,40.0,1000,0.35,In-store,40000.0,14000.0
1185732,2020-01-04,RG1,ST1,PD4,45.0,850,0.35,In-store,38250.0,13387.5
1185732,2020-01-05,RG1,ST1,PD5,60.0,900,0.3,In-store,54000.0,16200.0
1185732,2020-01-06,RG1,ST1,PD6,50.0,1000,0.25,In-store,50000.0,12500.0
1185732,2020-01-07,RG1,ST1,PD1,50.0,1250,0.5,In-store,62500.0,31250.0
1185732,2020-01-08,RG1,ST1,PD2,50.0,900,0.3,Outlet,45000.0,13500.0
1185732,2020-01-21,RG1,ST1,PD3,40.0,950,0.35,Outlet,38000.0,13300.0
1185732,2020-01-22,RG1,ST1,PD4,45.0,825,0.35,Outlet,37125.0,12993.75
1185732,2020-01-23,RG1,ST1,PD5,60.0,900,0.3,Outlet,54000.0,16200.0
1185732,2020-01-24,RG1,ST1,PD6,50.0,1000,0.25,Outlet,50000.0,12500.0
1185732,2020-01-25,RG1,ST1,PD1,50.0,1220,0.5,Outlet,61000.0,30500.0
1185732,2020-01-26,RG1,ST1,PD2,50.0,925,0.3,Outlet,46250.0,13875.0
1185732,2020-01-27,RG1,ST1,PD3,40.0,950,0.35,Outlet,38000.0,13300.0
1185732,2020-01-28,RG1,ST1,PD4,45.0,800,0.35,Outlet,36000.0,12600.0
1185732,2020-01-29,RG1,ST1,PD5,60.0,850,0.3,Outlet,51000.0,15300.0
1185732,2020-01-30,RG1,ST1,PD6,50.0,950,0.25,Outlet,47500.0,11875.0
1185732,2020-01-31,RG1,ST1,PD1,50.0,1200,0.5,Outlet,60000.0,30000.0
1185732,2020-02-01,RG1,ST1,PD2,50.0,900,0.3,Outlet,45000.0,13500.0
1185732,2020-02-02,RG1,ST1,PD3,40.0,900,0.35,Outlet,36000.0,12600.0
1185732,2020-02-03,RG1,ST1,PD4,45.0,825,0.35,Outlet,37125.0,12993.75
1185732,2020-02-04,RG1,ST1,PD5,60.0,825,0.3,Outlet,49500.0,14850.0
1185732,2020-02-05,RG1,ST1,PD6,50.0,950,0.25,Outlet,47500.0,11875.0
1185732,2020-02-06,RG1,ST1,PD1,60.0,1220,0.5,Outlet,73200.0,36600.0
