"Age (in single years), average age and median age and gender: Canada, provinces and territories, census metropolitan areas and census agglomerations with parts 1"
"Frequency: Occasional"
"Table: 98-10-0020-01"
"Release date: 2022-04-27"
"Geography: Canada, Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
"Universe: Total Population, including institutional residents, 2021 and 2016 censuses — 100% data"
"Variable List: Age (in single years), average age and median age (128), Census year (2), Gender (3a)"

,"Census year (2)","2021",,
,"Gender (3a) 3 4","Total - Gender","Men+ 5","Women+ 6"
"Geography","Age (in single years), average age and median age (128) 2","2021","2021","2021"
"Canada i1","Total - Age","36,991,980","18,226,240","18,765,740"
,"Average age","41.9","41.0","42.8"
,"Median age","41.6","40.4","42.8"
"Newfoundland and Labrador i2","Total - Age","510,550","250,075","260,475"
,"Average age","45.5","44.7","46.3"
,"Median age","48.4","47.6","49.2"
"Prince Edward Island i7","Total - Age","154,330","75,385","78,945"
,"Average age","43.1","42.1","44.0"
,"Median age","44.0","42.8","45.2"
"Nova Scotia i10","Total - Age","969,385","471,735","497,650"
,"Average age","44.2","43.2","45.2"
,"Median age","45.6","44.4","46.8"
"New Brunswick i16","Total - Age","775,610","381,455","394,150"
,"Average age","44.7","43.8","45.6"
,"Median age","46.8","45.6","47.6"
"Quebec i26","Total - Age","8,501,835","4,201,960","4,299,875"
,"Average age","42.8","41.8","43.7"
,"Median age","43.2","42.0","44.0"
"Ontario i56","Total - Age","14,223,940","6,970,850","7,253,090"
,"Average age","41.8","40.7","42.8"
,"Median age","41.6","40.0","42.8"
"Manitoba i104","Total - Age","1,342,155","666,495","675,660"
,"Average age","39.7","38.7","40.7"
,"Median age","38.4","37.2","39.6"
"Saskatchewan i111","Total - Age","1,132,505","563,125","569,380"
,"Average age","39.8","38.9","40.7"
,"Median age","38.8","38.0","39.6"
"Alberta i121","Total - Age","4,262,635","2,127,935","2,134,700"
,"Average age","39.0","38.4","39.7"
,"Median age","38.4","37.6","38.8"
"British Columbia i141","Total - Age","5,000,880","2,457,510","2,543,365"
,"Average age","43.1","42.2","43.9"
,"Median age","42.8","41.6","44.0"
"Yukon i170","Total - Age","40,235","20,100","20,130"
,"Average age","39.9","39.9","40.0"
,"Median age","39.2","39.2","39.6"
"Northwest Territories i172","Total - Age","41,070","20,845","20,225"
,"Average age","36.4","36.4","36.3"
,"Median age","35.6","35.6","35.6"
"Nunavut i174","Total - Age","36,860","18,765","18,095"
,"Average age","28.3","28.3","28.2"
,"Median age","25.6","25.6","25.8"

