Retailer,Retailer ID,Invoice Date,Region,State,Product,Price per Unit,Units Sold,Operating Margin,Sales Method,Total Sales,Operating Profit
Foot Locker,1185732,2020-01-01,Northeast,New York,Men's Street Footwear,50.0,1200,0.5,In-store,60000.0,30000.0
Foot Locker,1185732,2020-01-02,Northeast,New York,Men's Athletic Footwear,50.0,1000,0.3,In-store,50000.0,15000.0
Foot Locker,1185732,2020-01-03,Northeast,New York,Women's Street Footwear,40.0,1000,0.35,In-store,40000.0,14000.0
Foot Locker,1185732,2020-01-04,Northeast,New York,Women's Athletic Footwear,45.0,850,0.35,In-store,38250.0,13387.5
Foot Locker,1185732,2020-01-05,Northeast,New York,Men's Apparel,60.0,900,0.3,In-store,54000.0,16200.0
Foot Locker,1185732,2020-01-06,Northeast,New York,Women's Apparel,50.0,1000,0.25,In-store,50000.0,12500.0
Foot Locker,1185732,2020-01-07,Northeast,New York,Men's Street Footwear,50.0,1250,0.5,In-store,62500.0,31250.0
Foot Locker,1185732,2020-01-08,Northeast,New York,Men's Athletic Footwear,50.0,900,0.3,Outlet,45000.0,13500.0
Foot Locker,1185732,2020-01-21,Northeast,New York,Women's Street Footwear,40.0,950,0.35,Outlet,38000.0,13300.0
Foot Locker,1185732,2020-01-22,Northeast,New York,Women's Athletic Footwear,45.0,825,0.35,Outlet,37125.0,12993.75
Foot Locker,1185732,2020-01-23,Northeast,New York,Men's Apparel,60.0,900,0.3,Outlet,54000.0,16200.0
Foot Locker,1185732,2020-01-24,Northeast,New York,Women's Apparel,50.0,1000,0.25,Outlet,50000.0,12500.0
Foot Locker,1185732,2020-01-25,Northeast,New York,Men's Street Footwear,50.0,1220,0.5,Outlet,61000.0,30500.0
Foot Locker,1185732,2020-01-26,Northeast,New York,Men's Athletic Footwear,50.0,925,0.3,Outlet,46250.0,13875.0
Foot Locker,1185732,2020-01-27,Northeast,New York,Women's Street Footwear,40.0,950,0.35,Outlet,38000.0,13300.0
Foot Locker,1185732,2020-01-28,Northeast,New York,Women's Athletic Footwear,45.0,800,0.35,Outlet,36000.0,12600.0
Foot Locker,1185732,2020-01-29,Northeast,New York,Men's Apparel,60.0,850,0.3,Outlet,51000.0,15300.0
Foot Locker,1185732,2020-01-30,Northeast,New York,Women's Apparel,50.0,950,0.25,Outlet,47500.0,11875.0
Foot Locker,1185732,2020-01-31,Northeast,New York,Men's Street Footwear,50.0,1200,0.5,Outlet,60000.0,30000.0
Foot Locker,1185732,2020-02-01,Northeast,New York,Men's Athletic Footwear,50.0,900,0.3,Outlet,45000.0,13500.0
Foot Locker,1185732,2020-02-02,Northeast,New York,Women's Street Footwear,40.0,900,0.35,Outlet,36000.0,12600.0
Foot Locker,1185732,2020-02-03,Northeast,New York,Women's Athletic Footwear,45.0,825,0.35,Outlet,37125.0,12993.75
Foot Locker,1185732,2020-02-04,Northeast,New York,Men's Apparel,60.0,825,0.3,Outlet,49500.0,14850.0
Foot Locker,1185732,2020-02-05,Northeast,New York,Women's Apparel,50.0,950,0.25,Outlet,47500.0,11875.0
Foot Locker,1185732,2020-02-06,Northeast,New York,Men's Street Footwear,60.0,1220,0.5,Outlet,73200.0,36600.0
Foot Locker,1185732,2020-02-07,Northeast,New York,Men's Athletic Footwear,55.00000000000001,925,0.3,Outlet,50875.00000000001,15262.500000000002
Foot Locker,1185732,2020-02-08,Northeast,New York,Women's Street Footwear,50.0,900,0.35,Outlet,45000.0,15749.999999999998
Foot Locker,1185732,2020-02-09,Northeast,New York,Women's Athletic Footwear,50.0,850,0.35,Outlet,42500.0,14874.999999999998
Foot Locker,1185732,2020-02-10,Northeast,New York,Men's Apparel,60.0,875,0.3,Outlet,52500.0,15750.0
Foot Locker,1185732,2020-03-03,Northeast,New York,Women's Apparel,65.0,1000,0.25,Outlet,65000.0,16250.0
Foot Locker,1185732,2020-03-04,Northeast,New York,Men's Street Footwear,60.0,1250,0.5,Outlet,75000.0,37500.0
Foot Locker,1185732,2020-03-05,Northeast,New York,Men's Athletic Footwear,55.00000000000001,1000,0.3,Outlet,55000.00000000001,16500.0
Foot Locker,1185732,2020-03-06,Northeast,New York,Women's Street Footwear,50.0,925,0.35,Outlet,46250.0,16187.499999999998
Foot Locker,1185732,2020-03-07,Northeast,New York,Women's Athletic Footwear,50.0,900,0.35,Outlet,45000.0,15749.999999999998
Foot Locker,1185732,2020-03-08,Northeast,New York,Men's Apparel,60.0,900,0.3,Outlet,54000.0,16200.0
Foot Locker,1185732,2020-03-09,Northeast,New York,Women's Apparel,65.0,1050,0.25,Outlet,68250.0,17062.5
Foot Locker,1185732,2020-03-10,Northeast,New York,Men's Street Footwear,60.0,1275,0.5,Outlet,76500.0,38250.0
Foot Locker,1185732,2020-03-11,Northeast,New York,Men's Athletic Footwear,55.00000000000001,1025,0.3,Outlet,56375.00000000001,16912.5
Foot Locker,1185732,2020-03-12,Northeast,New York,Women's Street Footwear,50.0,950,0.35,Outlet,47500.0,16625.0
Foot Locker,1185732,2020-03-13,Northeast,New York,Women's Athletic Footwear,50.0,900,0.35,Outlet,45000.0,15749.999999999998
Foot Locker,1185732,2020-03-14,Northeast,New York,Men's Apparel,60.0,925,0.3,Outlet,55500.0,16650.0
Foot Locker,1185732,2020-03-15,Northeast,New York,Women's Apparel,65.0,1100,0.25,Outlet,71500.0,17875.0
Foot Locker,1185732,2020-03-16,Northeast,New York,Men's Street Footwear,60.0,1250,0.5,Outlet,75000.0,37500.0
Foot Locker,1185732,2020-03-17,Northeast,New York,Men's Athletic Footwear,55.00000000000001,1025,0.3,Outlet,56375.00000000001,16912.5
Foot Locker,1185732,2020-03-18,Northeast,New York,Women's Street Footwear,50.0,950,0.35,Outlet,47500.0,16625.0
Foot Locker,1185732,2020-03-31,Northeast,New York,Women's Athletic Footwear,50.0,925,0.35,Outlet,46250.0,16187.499999999998
Walmart,1185732,2020-04-17,Northeast,New York,Men's Apparel,60.0,900,0.3,Outlet,54000.0,16200.0
Walmart,1185732,2020-04-18,Northeast,New York,Women's Apparel,65.0,1075,0.25,Outlet,69875.0,17468.75
Walmart,1185732,2020-04-19,Northeast,New York,Men's Street Footwear,60.0,1200,0.5,Outlet,72000.0,36000.0
Walmart,1185732,2020-04-20,Northeast,New York,Men's Athletic Footwear,55.00000000000001,1000,0.3,Outlet,55000.00000000001,16500.0
Walmart,1185732,2020-04-21,Northeast,New York,Women's Street Footwear,50.0,925,0.35,Outlet,46250.0,16187.499999999998
Walmart,1185732,2020-04-22,Northeast,New York,Women's Athletic Footwear,50.0,900,0.35,Outlet,45000.0,15749.999999999998
Walmart,1185732,2020-04-23,Northeast,New York,Men's Apparel,60.0,900,0.3,Outlet,54000.0,16200.0
Walmart,1185732,2020-04-24,Northeast,New York,Women's Apparel,65.0,1000,0.25,Outlet,65000.0,16250.0
Walmart,1185732,2020-04-25,Northeast,New York,Men's Apparel,65.0,875,0.3,Outlet,56875.0,17062.5
Walmart,1185732,2020-04-26,Northeast,New York,Women's Apparel,70.0,1000,0.25,Outlet,70000.0,17500.0
Walmart,1185732,2020-04-27,Northeast,New York,Men's Street Footwear,65.0,1150,0.5,Outlet,74750.0,37375.0
Walmart,1185732,2020-04-28,Northeast,New York,Men's Athletic Footwear,55.00000000000001,975,0.3,Outlet,53625.00000000001,16087.500000000002
Walmart,1185732,2020-04-29,Northeast,New York,Women's Street Footwear,55.00000000000001,920,0.35,Outlet,50600.00000000001,17710.0
Walmart,1185732,2020-04-30,Northeast,New York,Women's Athletic Footwear,55.00000000000001,900,0.35,Outlet,49500.00000000001,17325.0
Walmart,1185732,2020-05-01,Northeast,New York,Men's Apparel,65.0,875,0.3,Outlet,56875.0,17062.5
Walmart,1185732,2020-05-02,Northeast,New York,Women's Apparel,70.0,975,0.25,Outlet,68250.0,17062.5
Walmart,1185732,2020-05-03,Northeast,New York,Men's Street Footwear,65.0,1200,0.5,Outlet,78000.0,39000.0
Walmart,1185732,2020-05-04,Northeast,New York,Men's Athletic Footwear,55.00000000000001,1000,0.3,Outlet,55000.00000000001,16500.0
Walmart,1185732,2020-05-05,Northeast,New York,Women's Street Footwear,55.00000000000001,950,0.35,Outlet,52250.00000000001,18287.5
Walmart,1185732,2020-05-06,Northeast,New York,Women's Athletic Footwear,55.00000000000001,900,0.35,Outlet,49500.00000000001,17325.0
Walmart,1185732,2020-05-07,Northeast,New York,Men's Apparel,65.0,900,0.3,Outlet,58500.0,17550.0
Walmart,1185732,2020-07-18,Northeast,New York,Women's Apparel,70.0,1000,0.25,Outlet,70000.0,17500.0
Sports Direct,1197831,2020-07-19,Northeast,New York,Men's Street Footwear,25.0,900,0.35,Outlet,22500.0,7874.999999999999
Sports Direct,1197831,2020-07-20,Northeast,New York,Men's Athletic Footwear,35.0,900,0.35,Outlet,31500.0,11025.0
Sports Direct,1197831,2020-07-21,Northeast,New York,Women's Street Footwear,35.0,700,0.35,Outlet,24500.0,8575.0
Sports Direct,1197831,2020-07-22,Northeast,New York,Women's Athletic Footwear,35.0,700,0.45,Outlet,24500.0,11025.0
Sports Direct,1197831,2020-07-23,South,Texas,Men's Apparel,40.0,550,0.3,Outlet,22000.0,6600.0
Sports Direct,1197831,2020-07-24,South,Texas,Women's Apparel,35.0,700,0.5,Outlet,24500.0,12250.0
Sports Direct,1197831,2020-07-25,South,Texas,Men's Street Footwear,25.0,850,0.35,Outlet,21250.0,7437.499999999999
Sports Direct,1197831,2020-07-26,South,Texas,Men's Athletic Footwear,35.0,850,0.35,Outlet,29750.0,10412.5
Sports Direct,1197831,2020-07-27,South,Texas,Women's Street Footwear,35.0,675,0.35,Outlet,23625.0,8268.75
Sports Direct,1197831,2020-07-28,South,Texas,Women's Athletic Footwear,35.0,625,0.45,Outlet,21875.0,9843.75
Sports Direct,1197831,2020-07-29,South,Texas,Men's Apparel,40.0,500,0.3,Outlet,20000.0,6000.0
Sports Direct,1197831,2020-07-30,South,Texas,Women's Apparel,35.0,700,0.5,Outlet,24500.0,12250.0
Sports Direct,1197831,2020-07-31,South,Texas,Men's Street Footwear,30.0,875,0.35,Outlet,26250.0,9187.5
Sports Direct,1197831,2020-08-01,South,Texas,Men's Athletic Footwear,40.0,875,0.35,Outlet,35000.0,12250.0
Sports Direct,1197831,2020-08-02,South,Texas,Women's Street Footwear,35.0,700,0.35,Outlet,24500.0,8575.0
Sports Direct,1197831,2020-08-03,South,Texas,Women's Athletic Footwear,40.0,600,0.45,Outlet,24000.0,10800.0
Sports Direct,1197831,2020-08-04,South,Texas,Men's Apparel,45.0,500,0.3,Outlet,22500.0,6750.0
Sports Direct,1197831,2020-08-05,South,Texas,Women's Apparel,40.0,650,0.5,Outlet,26000.0,13000.0
Sports Direct,1197831,2020-08-06,South,Texas,Men's Street Footwear,30.0,900,0.35,Outlet,27000.0,9450.0
Sports Direct,1197831,2020-08-07,South,Texas,Men's Athletic Footwear,40.0,900,0.35,Outlet,36000.0,12600.0
Sports Direct,1197831,2020-08-08,South,Texas,Women's Street Footwear,35.0,725,0.35,Outlet,25375.0,8881.25
Sports Direct,1197831,2020-08-09,South,Texas,Women's Athletic Footwear,40.0,625,0.45,Outlet,25000.0,11250.0
